"TIME_PERIOD","REF_AREA","MEASURE","SECTOR","STANDARD_REVENUE","CTRY_SPECIFIC_REVENUE","UNIT_MEASURE","FREQ","obsValue","UNIT_MULT","REVENUE_CODE","DECIMALS","CURRENCY","OBS_STATUS"
"2021","CHL","TAX_REV","S13","T_1200","_T","USD","A",12.050607,"9","1200","0","_Z","A"
"2020","CHL","TAX_REV","S13","T_1200","_T","USD","A",11.895375,"9","1200","0","_Z","A"
"2019","CHL","TAX_REV","S13","T_1200","_T","USD","A",13.654157,"9","1200","0","_Z","A"
"2018","CHL","TAX_REV","S13","T_1200","_T","USD","A",13.910525,"9","1200","0","_Z","A"
"2017","CHL","TAX_REV","S13","T_1200","_T","USD","A",11.803362,"9","1200","0","_Z","A"
"2023","NLD","TAX_REV","S13","T_1200","_T","USD","A",56.432464,"9","1200","0","_Z","A"
"2022","NLD","TAX_REV","S13","T_1200","_T","USD","A",49.674397,"9","1200","0","_Z","A"
"2021","NLD","TAX_REV","S13","T_1200","_T","USD","A",39.523639,"9","1200","0","_Z","A"
"2020","NLD","TAX_REV","S13","T_1200","_T","USD","A",28.205404,"9","1200","0","_Z","A"
"2019","NLD","TAX_REV","S13","T_1200","_T","USD","A",33.623427,"9","1200","0","_Z","A"
"2018","NLD","TAX_REV","S13","T_1200","_T","USD","A",32.014483,"9","1200","0","_Z","A"
"2017","NLD","TAX_REV","S13","T_1200","_T","USD","A",27.326972,"9","1200","0","_Z","A"
"2023","EST","TAX_REV","S13","T_1220","_T","USD","A",0.576784,"9","1220","0","_Z","A"
"2022","EST","TAX_REV","S13","T_1220","_T","USD","A",0.511786,"9","1220","0","_Z","A"
"2021","EST","TAX_REV","S13","T_1220","_T","USD","A",0.456122,"9","1220","0","_Z","A"
"2020","EST","TAX_REV","S13","T_1220","_T","USD","A",0.419917,"9","1220","0","_Z","A"
"2019","EST","TAX_REV","S13","T_1220","_T","USD","A",0.465187,"9","1220","0","_Z","A"
"2018","EST","TAX_REV","S13","T_1220","_T","USD","A",0.527461,"9","1220","0","_Z","A"
"2017","EST","TAX_REV","S13","T_1220","_T","USD","A",0.367372,"9","1220","0","_Z","A"
"2016","SWE","TAX_REV","S13","T_1200","_T","USD","A",14.074462,"9","1200","0","_Z","A"
"2023","SWE","TAX_REV","S13","T_1200","_T","USD","A",20.812277,"9","1200","0","_Z","A"
"2022","SWE","TAX_REV","S13","T_1200","_T","USD","A",19.842628,"9","1200","0","_Z","A"
"2021","SWE","TAX_REV","S13","T_1200","_T","USD","A",21.252049,"9","1200","0","_Z","A"
"2020","SWE","TAX_REV","S13","T_1200","_T","USD","A",16.121515,"9","1200","0","_Z","A"
"2019","SWE","TAX_REV","S13","T_1200","_T","USD","A",16.066171,"9","1200","0","_Z","A"
"2018","SWE","TAX_REV","S13","T_1200","_T","USD","A",15.812048,"9","1200","0","_Z","A"
"2016","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","AUS","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","CAN","TAX_REV","S13","T_1200","_T","USD","A",99.770829,"9","1200","0","_Z","A"
"2022","CAN","TAX_REV","S13","T_1200","_T","USD","A",101.44161,"9","1200","0","_Z","A"
"2021","CAN","TAX_REV","S13","T_1200","_T","USD","A",98.354843,"9","1200","0","_Z","A"
"2020","CAN","TAX_REV","S13","T_1200","_T","USD","A",68.695906,"9","1200","0","_Z","A"
"2019","CAN","TAX_REV","S13","T_1200","_T","USD","A",65.28108,"9","1200","0","_Z","A"
"2018","CAN","TAX_REV","S13","T_1200","_T","USD","A",70.500634,"9","1200","0","_Z","A"
"2017","CAN","TAX_REV","S13","T_1200","_T","USD","A",64.155428,"9","1200","0","_Z","A"
"2016","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2023","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2022","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2021","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2020","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2019","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2018","MEX","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2023","USA","TAX_REV","S13","T_1210","_T","USD","A",512.26871,"9","1210","0","_Z","A"
"2022","USA","TAX_REV","S13","T_1210","_T","USD","A",472.339488,"9","1210","0","_Z","A"
"2021","USA","TAX_REV","S13","T_1210","_T","USD","A",324.712209,"9","1210","0","_Z","A"
"2020","USA","TAX_REV","S13","T_1210","_T","USD","A",253.908557,"9","1210","0","_Z","A"
"2019","USA","TAX_REV","S13","T_1210","_T","USD","A",236.533121,"9","1210","0","_Z","A"
"2018","USA","TAX_REV","S13","T_1210","_T","USD","A",245.84624,"9","1210","0","_Z","A"
"2017","USA","TAX_REV","S13","T_1210","_T","USD","A",238.114853,"9","1210","0","_Z","A"
"2023","AUT","TAX_REV","S13","T_1200","_T","USD","A",16.883592,"9","1200","0","_Z","A"
"2022","AUT","TAX_REV","S13","T_1200","_T","USD","A",16.13817,"9","1200","0","_Z","A"
"2021","AUT","TAX_REV","S13","T_1200","_T","USD","A",13.208438,"9","1200","0","_Z","A"
"2020","AUT","TAX_REV","S13","T_1200","_T","USD","A",9.346008,"9","1200","0","_Z","A"
"2019","AUT","TAX_REV","S13","T_1200","_T","USD","A",12.085151,"9","1200","0","_Z","A"
"2018","AUT","TAX_REV","S13","T_1200","_T","USD","A",12.329351,"9","1200","0","_Z","A"
"2017","AUT","TAX_REV","S13","T_1200","_T","USD","A",10.303949,"9","1200","0","_Z","A"
"2023","EST","TAX_REV","S13","T_1200","_T","USD","A",0.775163,"9","1200","0","_Z","A"
"2022","EST","TAX_REV","S13","T_1200","_T","USD","A",0.62776,"9","1200","0","_Z","A"
"2021","EST","TAX_REV","S13","T_1200","_T","USD","A",0.569104,"9","1200","0","_Z","A"
"2020","EST","TAX_REV","S13","T_1200","_T","USD","A",0.513453,"9","1200","0","_Z","A"
"2019","EST","TAX_REV","S13","T_1200","_T","USD","A",0.569925,"9","1200","0","_Z","A"
"2018","EST","TAX_REV","S13","T_1200","_T","USD","A",0.611557,"9","1200","0","_Z","A"
"2017","EST","TAX_REV","S13","T_1200","_T","USD","A",0.412955,"9","1200","0","_Z","A"
"2023","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.613142,"6","1210","0","_Z","A"
"2022","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.402352,"6","1210","0","_Z","A"
"2021","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.527172,"6","1210","0","_Z","A"
"2020","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.067966,"6","1210","0","_Z","A"
"2019","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.067464,"6","1210","0","_Z","A"
"2018","SVN","TAX_REV","S13","T_1210","_T","USD","A",1.046188,"6","1210","0","_Z","A"
"2017","SVN","TAX_REV","S13","T_1210","_T","USD","A",0.862847,"6","1210","0","_Z","A"
"2023","FIN","TAX_REV","S13","T_1210","_T","USD","A",8.585269,"9","1210","0","_Z","A"
"2022","FIN","TAX_REV","S13","T_1210","_T","USD","A",8.483358,"9","1210","0","_Z","A"
