"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2019","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",1981663,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",1947319,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",1842045,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",1757655,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",7465,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",4890,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",3024,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",3388,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",3792,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",4702,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",4582,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",4217,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",2672659,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",2567513,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S12","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",90771,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S12","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",89631,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",22853,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",21198,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",19673,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",17932,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",16853,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",16922,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",16612,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",17056,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S12","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",116024,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S12","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",109799,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",977549,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",973449,"W","_Z","2","6","AUD","F","A"
