REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
EST,USD,2016,0.409,Billions,1200
EST,USD,2017,0.413,Billions,1200
EST,USD,2018,0.612,Billions,1200
EST,USD,2019,0.57,Billions,1200
EST,USD,2020,0.513,Billions,1200
EST,USD,2021,0.569,Billions,1200
EST,USD,2022,0.628,Billions,1200
VUT,USD,2016,0,Millions,1200
VUT,USD,2017,0,Millions,1200
VUT,USD,2018,0,Millions,1200
VUT,USD,2019,0,Millions,1200
VUT,USD,2020,0,Millions,1200
VUT,USD,2021,0,Millions,1200
VUT,USD,2022,0,Millions,1200
SLB,USD,2016,35.007,Millions,1200
SLB,USD,2017,36.687,Millions,1200
SLB,USD,2018,36.252,Millions,1200
SLB,USD,2019,30.35,Millions,1200
SLB,USD,2020,34.573,Millions,1200
SLB,USD,2021,36.724,Millions,1200
SLB,USD,2022,32.667,Millions,1200
GRC,USD,2016,4.857,Billions,1200
GRC,USD,2017,3.965,Billions,1200
GRC,USD,2018,4.721,Billions,1200
GRC,USD,2019,3.898,Billions,1200
GRC,USD,2020,2.684,Billions,1200
GRC,USD,2021,4.298,Billions,1200
GRC,USD,2022,5.399,Billions,1200
FRA,USD,2016,45.349,Billions,1200
FRA,USD,2017,56.632,Billions,1200
FRA,USD,2018,53.149,Billions,1200
FRA,USD,2019,56.07,Billions,1200
FRA,USD,2020,60.089,Billions,1200
FRA,USD,2021,71.199,Billions,1200
FRA,USD,2022,79.531,Billions,1200
MAR,USD,2016,4518.881,Millions,1200
MAR,USD,2017,5332.853,Millions,1200
MAR,USD,2018,5554.704,Millions,1200
MAR,USD,2019,5607.05,Millions,1200
MAR,USD,2020,5604.104,Millions,1200
MAR,USD,2021,5602.788,Millions,1200
MAR,USD,2022,7059.937,Millions,1200
GBR,USD,2016,69.685,Billions,1200
GBR,USD,2017,70.296,Billions,1200
GBR,USD,2018,73.394,Billions,1200
GBR,USD,2019,65.866,Billions,1200
GBR,USD,2020,64.473,Billions,1200
GBR,USD,2021,92.418,Billions,1200
GBR,USD,2022,100.58,Billions,1200
LKA,USD,2016,989.918,Millions,1200
LKA,USD,2017,871.596,Millions,1200
LKA,USD,2018,979.389,Millions,1200
LKA,USD,2019,1457.304,Millions,1200
LKA,USD,2020,1155.558,Millions,1200
LKA,USD,2021,1266.984,Millions,1200
LKA,USD,2022,1036.709,Millions,1200
GNQ,USD,2016,421.41,Millions,1200
GNQ,USD,2017,479.105,Millions,1200
GNQ,USD,2018,474.304,Millions,1200
GNQ,USD,2019,745.486,Millions,1200
GNQ,USD,2020,516.321,Millions,1200
GNQ,USD,2021,414.901,Millions,1200
GNQ,USD,2022,623.368,Millions,1200
TKL,USD,2016,0,Millions,1200
TKL,USD,2017,0,Millions,1200
TKL,USD,2018,0,Millions,1200
TKL,USD,2019,0,Millions,1200
TKL,USD,2020,0,Millions,1200
TKL,USD,2021,0,Millions,1200
TKL,USD,2022,0,Millions,1200
MOZ,USD,2016,590.95,Millions,1200
MOZ,USD,2017,734.589,Millions,1200
MOZ,USD,2018,957.43,Millions,1200
MOZ,USD,2019,850.647,Millions,1200
MOZ,USD,2020,849.656,Millions,1200
MOZ,USD,2021,987.286,Millions,1200
MOZ,USD,2022,1222.876,Millions,1200
LAO,USD,2016,215.391,Millions,1200
LAO,USD,2017,239.969,Millions,1200
LAO,USD,2018,246.642,Millions,1200
LAO,USD,2019,254.277,Millions,1200
LAO,USD,2020,190.748,Millions,1200
LAO,USD,2021,280.249,Millions,1200
LAO,USD,2022,275.378,Millions,1200
JPN,USD,2016,180.398,Billions,1200
JPN,USD,2017,181.985,Billions,1200
JPN,USD,2018,205.246,Billions,1200
JPN,USD,2019,194.064,Billions,1200
JPN,USD,2020,192.944,Billions,1200
JPN,USD,2021,213.271,Billions,1200
JPN,USD,2022,200.632,Billions,1200
SLE,USD,2016,51.484,Millions,1200
SLE,USD,2017,30.038,Millions,1200
SLE,USD,2018,55.262,Millions,1200
SLE,USD,2019,59.683,Millions,1200
SLE,USD,2020,59.383,Millions,1200
SLE,USD,2021,71.559,Millions,1200
SLE,USD,2022,79.279,Millions,1200
ISR,USD,2016,9.834,Billions,1200
ISR,USD,2017,11.922,Billions,1200
ISR,USD,2018,12.044,Billions,1200
ISR,USD,2019,12.273,Billions,1200
ISR,USD,2020,11.331,Billions,1200
ISR,USD,2021,17.481,Billions,1200
ISR,USD,2022,22.677,Billions,1200
TUR,USD,2016,14.228,Billions,1200
TUR,USD,2017,14.502,Billions,1200
TUR,USD,2018,16.294,Billions,1200
TUR,USD,2019,13.893,Billions,1200
TUR,USD,2020,14.99,Billions,1200
TUR,USD,2021,20.109,Billions,1200
TUR,USD,2022,30.664,Billions,1200
GUY,USD,2016,163.942,Millions,1200
GUY,USD,2017,199.427,Millions,1200
GUY,USD,2018,222.425,Millions,1200
GUY,USD,2019,279.852,Millions,1200
GUY,USD,2020,311.696,Millions,1200
GUY,USD,2021,364.034,Millions,1200
GUY,USD,2022,501.575,Millions,1200
GHA,USD,2016,1082.36,Millions,1200
GHA,USD,2017,1427.766,Millions,1200
GHA,USD,2018,2084.312,Millions,1200
GHA,USD,2019,2268.523,Millions,1200
GHA,USD,2020,2297.061,Millions,1200
GHA,USD,2021,2554.908,Millions,1200
